483.862247415, 431.131248131, 379.893905634, 502.10686779, 230.542581833, 122.692395304, 588.377279825, 508.016961447, 465.859624069, 496.959372066, 258.601898565, 157.897824115, 
439.493775057, 400.77076593, 413.473943241, 481.277662913, 225.079782707, 127.776009, 622.411370477, 490.366249365, 461.112814276, 477.577753443, 250.039447817, 149.308910617, 
423.915276301, 420.315041142, 417.191015048, 543.951534784, 252.735531115, 130.822646622, 553.336679385, 545.449981279, 442.83194234, 496.958265251, 257.811251109, 153.868882363, 
419.1004448, 393.268062504, 364.89799997, 470.113558315, 224.188742085, 122.407068586, 644.016472787, 542.396893921, 466.104468425, 515.405204206, 264.158170919, 155.485798436, 
413.202210817, 414.761234728, 376.900725594, 453.186069454, 227.519449422, 123.092651275, 540.292931504, 536.337502212, 478.091288875, 482.109126803, 253.541542009, 153.972250982, 
482.873515417, 418.411588536, 422.864782, 529.906670514, 243.209565552, 125.918347527, 551.488797628, 529.831583609, 454.945623363, 495.776322669, 259.767798894, 152.195506181, 
432.465969342, 444.164403275, 370.15286675, 470.943150837, 234.980751013, 122.619504729, 628.635985254, 531.962190586, 463.846901206, 523.737839998, 260.484872356, 150.121260064, 
439.962732241, 401.895967237, 395.204183593, 462.886735884, 226.210502332, 122.503623418, 606.942022302, 526.714943347, 474.681226539, 518.080625906, 260.933290268, 156.124123716, 
411.821518785, 402.4938989, 393.418796261, 459.450742361, 225.348274642, 119.853940003, 579.418251041, 485.052217412, 450.043735837, 499.43034448, 248.356554225, 156.735388828, 
447.942951765, 409.223721855, 414.946810032, 533.765864893, 238.472954913, 119.41295736, 631.087946842, 564.669663901, 449.837744375, 499.654377107, 260.740584434, 157.376734513, 
